vin	V(vout)
Step Information: Rd=10K  (Step: 1/4)
1.500000000000000e-01	4.000000e+00
1.600000000000000e-01	4.000000e+00
1.700000000000000e-01	4.000000e+00
1.800000000000000e-01	4.000000e+00
1.900000000000000e-01	4.000000e+00
2.000000000000000e-01	4.000000e+00
2.100000000000000e-01	4.000000e+00
2.200000000000001e-01	4.000000e+00
2.300000000000001e-01	4.000000e+00
2.400000000000001e-01	4.000000e+00
2.500000000000001e-01	4.000000e+00
2.600000000000001e-01	4.000000e+00
2.700000000000001e-01	4.000000e+00
2.800000000000001e-01	4.000000e+00
2.900000000000001e-01	4.000000e+00
3.000000000000001e-01	4.000000e+00
3.100000000000001e-01	4.000000e+00
3.200000000000001e-01	4.000000e+00
3.300000000000001e-01	4.000000e+00
3.400000000000001e-01	4.000000e+00
3.500000000000001e-01	4.000000e+00
3.600000000000002e-01	4.000000e+00
3.700000000000002e-01	4.000000e+00
3.800000000000002e-01	4.000000e+00
3.900000000000002e-01	4.000000e+00
4.000000000000002e-01	4.000000e+00
4.100000000000002e-01	4.000000e+00
4.200000000000002e-01	4.000000e+00
4.300000000000002e-01	4.000000e+00
4.400000000000002e-01	4.000000e+00
4.500000000000002e-01	4.000000e+00
4.600000000000002e-01	4.000000e+00
4.700000000000003e-01	4.000000e+00
4.800000000000003e-01	4.000000e+00
4.900000000000003e-01	4.000000e+00
5.000000000000002e-01	4.000000e+00
5.100000000000002e-01	4.000000e+00
5.200000000000002e-01	4.000000e+00
5.300000000000002e-01	4.000000e+00
5.400000000000003e-01	4.000000e+00
5.500000000000003e-01	4.000000e+00
5.600000000000003e-01	4.000000e+00
5.700000000000003e-01	4.000000e+00
5.800000000000003e-01	4.000000e+00
5.900000000000003e-01	4.000000e+00
6.000000000000003e-01	4.000000e+00
6.100000000000003e-01	4.000000e+00
6.200000000000003e-01	4.000000e+00
6.300000000000003e-01	4.000000e+00
6.400000000000003e-01	4.000000e+00
6.500000000000004e-01	4.000000e+00
6.600000000000004e-01	4.000000e+00
6.700000000000004e-01	4.000000e+00
6.800000000000004e-01	4.000000e+00
6.900000000000004e-01	4.000000e+00
7.000000000000004e-01	4.000000e+00
7.100000000000004e-01	3.999812e+00
7.200000000000004e-01	3.999248e+00
7.300000000000004e-01	3.998308e+00
7.400000000000004e-01	3.996992e+00
7.500000000000004e-01	3.995301e+00
7.600000000000005e-01	3.993235e+00
7.700000000000005e-01	3.990794e+00
7.800000000000005e-01	3.987978e+00
7.900000000000005e-01	3.984788e+00
8.000000000000005e-01	3.981225e+00
8.100000000000005e-01	3.977288e+00
8.200000000000005e-01	3.972980e+00
8.300000000000005e-01	3.968299e+00
8.400000000000005e-01	3.963248e+00
8.500000000000005e-01	3.957826e+00
8.600000000000005e-01	3.952036e+00
8.700000000000006e-01	3.945877e+00
8.800000000000006e-01	3.939350e+00
8.900000000000006e-01	3.932458e+00
9.000000000000006e-01	3.925200e+00
9.100000000000006e-01	3.917578e+00
9.200000000000006e-01	3.909593e+00
9.300000000000006e-01	3.901247e+00
9.400000000000006e-01	3.892540e+00
9.500000000000006e-01	3.883475e+00
9.600000000000006e-01	3.874052e+00
9.700000000000006e-01	3.864273e+00
9.800000000000006e-01	3.854140e+00
9.900000000000007e-01	3.843654e+00
1.000000000000001e+00	3.832816e+00
1.010000000000001e+00	3.821630e+00
1.020000000000001e+00	3.810095e+00
1.030000000000001e+00	3.798214e+00
1.040000000000001e+00	3.785989e+00
1.050000000000001e+00	3.773422e+00
1.060000000000001e+00	3.760514e+00
1.070000000000001e+00	3.747268e+00
1.080000000000001e+00	3.733685e+00
1.090000000000001e+00	3.719769e+00
1.100000000000001e+00	3.705520e+00
1.110000000000001e+00	3.690941e+00
1.120000000000001e+00	3.676034e+00
1.130000000000001e+00	3.660802e+00
1.140000000000001e+00	3.645246e+00
1.150000000000001e+00	3.629369e+00
1.160000000000001e+00	3.613174e+00
1.170000000000001e+00	3.596663e+00
1.180000000000001e+00	3.579837e+00
1.190000000000001e+00	3.562701e+00
1.200000000000001e+00	3.545255e+00
1.210000000000001e+00	3.527504e+00
1.220000000000001e+00	3.509449e+00
1.230000000000001e+00	3.491092e+00
1.240000000000001e+00	3.472437e+00
1.250000000000001e+00	3.453487e+00
1.260000000000001e+00	3.434243e+00
1.270000000000001e+00	3.414710e+00
1.280000000000001e+00	3.394889e+00
1.290000000000001e+00	3.374783e+00
1.300000000000001e+00	3.354395e+00
1.310000000000001e+00	3.333728e+00
1.320000000000001e+00	3.312785e+00
1.330000000000001e+00	3.291569e+00
1.340000000000001e+00	3.270082e+00
1.350000000000001e+00	3.248328e+00
1.360000000000001e+00	3.226310e+00
1.370000000000001e+00	3.204031e+00
1.380000000000001e+00	3.181493e+00
1.390000000000001e+00	3.158699e+00
1.400000000000001e+00	3.135653e+00
1.410000000000001e+00	3.112358e+00
1.420000000000001e+00	3.088817e+00
1.430000000000001e+00	3.065032e+00
1.440000000000001e+00	3.041008e+00
1.450000000000001e+00	3.016747e+00
1.460000000000001e+00	2.992252e+00
1.470000000000001e+00	2.967527e+00
1.480000000000001e+00	2.942574e+00
1.490000000000001e+00	2.917397e+00
1.500000000000001e+00	2.891998e+00
1.510000000000001e+00	2.866382e+00
